транскрипция;орфография;часть речи;английский перевод;русский перевод
NOM.PL: irqi?unt, irqi?une;NOM.PL: ирхъичунт, ирхъичуне;;;
ja?bu;йябу;n;male horse;конь
NOM.PL: ja?bne;NOM.PL: йябне;;;
k'ume?;кIумеш;n;bull-calf (older than a year, non-castrated);бычок после года (не кастр.)
NOM.PL: k'um?e;NOM.PL: кIумше;;;
kac'a;кацIа;n;puppy;щенок
NOM.PL: kac'ne;NOM.PL: кацIне;;;
k?iha;квигьа;n;ram;взрослый баран
NOM.PL: k?ihme;NOM.PL: квигьме;;;
mal?u?n;малгIуIн;n;wolf;волк
NOM.PL: mal?u?nt;NOM.PL: малгIуIнт;;;
maza;маза;n;sheep;овца
NOM.PL: maza;NOM.PL: маза;;;
muq'ara;мукъара;n;lamb (younger that a year);ягненок (до года)
NOM.PL: muq're;NOM.PL: мукъре;;;
q'a?ca;къяца;n;male goat;козел
NOM.PL: q'a?cme;NOM.PL: къяцме;;;
q'?a?l;къвял;n;cow;корова
NOM.PL: q'?a?le;NOM.PL: къвяле;;;
q?at'i;хъватIи;n;adult sheep;взрослая овца, овцематка
NOM.PL: q?at'ne;NOM.PL: хъватIне;;;
?aban;гъабан;n;swine;кабан
NOM.PL: ?abant;NOM.PL: гъабант;;;
?a?a;гъача;n;calf (younger than a year);теленок (до года)
NOM.PL: ?a?ne;NOM.PL: гъачне;;;
r=igul;ригул;adj;matched;засватанная
NOM.PL: r=igult;NOM.PL: ригулт;;;
sinka;синка;n;bear;медведь
NOM.PL: sinkbe;NOM.PL: синкбе;;;
t'u?angari;тIухIангари;n;heifer (1-3 years old);телка (от года до трех лет)
NOM.PL: t'o?angurbe, t'u?angurbe;NOM.PL: тIoхIангурбе, тIухIангурбе;;;
ta?j;тяй;n;foal;жеребенок
NOM.PL: to?jre;NOM.PL: тoIйре;;;
tar?;таръ;n;weasel;горностай
NOM.PL: tar?ane;NOM.PL: таръане;;;
ukduri;укдури;n;bride;невеста
